Space,Group,Details
CoonLab,Scientific Visualization,Valerio Pascucci
Floor3SW,Imaging,Imaging overflow
Floor3SE,Imaging,Imaging overflow
Floor4SW,Biomedical Computation,Jeff Weiss
Floor4SE,Biomedical Computation,Rob MacLeod
Halverson,Scientific Visualization,Valerio (Microscopy)
BeerCave,Scientific Visualization,Valerio (Ag Drone - Climate Data - & Telemedicine)
Floor4AtriumSE,Scientific Visualization,Valerio (Feature-based Analysis)
Floor4AtriumSW,Scientific Visualization,Valerio (Morse Smale Complex)
Floor4AtriumNE,Information Visualization,Yarden Livnat
Floor4AtriumNW,Available,Available
Jones,Information Visualization,InfoVis
Lobby,Intro Room,Intro Room
DiningArea,Imaging,Imaging
EvansNW,Scientific Computing,Allen Sanderson (Uintah)
EvansSE,Scientific Visualization,Valerio (PIDX & In Situ Analytics)
EvansSW,Scientific Visualization,Valerio (High Dim Data & Nuclear Safety)
EvansNE,Scientific Visualization,Chuck Hansen
EvansN,Scientific Computing,Chris Johnson (possibly Paul Rosen as well)
Floor3AtriumW,Scientific Computing,Martin+Mike
Floor3AtriumC,Scientific Visualization,Bei
Floor3AtriumE,Information Visualization,InfoVis
Floor3NW,Scientific Computing,Martin+Mike
Floor3NE,Scientific Computing,Orly
Floor4NE,Biomedical Computation,Chris Butson
Floor4NW,Biomedical Computation,Chris Butson
GenesOffice,Scientific Visualization,Gene Payne
YongsOffice,Scientific Visualization,Yong Wan
CafeHallway,Imaging,Sarang Joshi
